ID,Title,Category,Severity,File & Line Number,Exploit Scenario,Recommended Fix,Status,Verification Notes
BUG-001,Default admin access code still active in production (self-elevation to admin),Configuration & Secrets / Access Control,Critical,supabase/phase14_admin_access.sql:97-99 (default code 'CHANGE-ME-ADMIN-2026'); app/login/actions.ts (adminSignup),"The admin gate is a single secret code stored in app_secrets. The default value 'CHANGE-ME-ADMIN-2026' is committed to the PUBLIC GitHub repo and was never rotated on the live deployment. VERIFIED LIVE: rpc/verify_admin_code with the default code returns true. Any anonymous person can open /admin-access, sign up with that code, then redeem_admin_access() elevates their own profile to role='admin' — granting full admin: read/modify all members, change roles, delete content, post announcements. Existing users can also call the redeem RPC directly.","1) Immediately rotate the code: UPDATE app_secrets SET value='<long-random>' WHERE key='admin_access_code'. 2) Remove the default literal from the SQL file / git history. 3) Audit profiles for role='admin' rows you didn't create and demote them. 4) Longer term, replace a shared static code with per-invite tokens (single-use, expiring) and rate-limit verify_admin_code.",Fixed,"Repo: phase14_admin_access.sql now seeds a random 128-bit code (gen_random_uuid x2) instead of a known default. Live: owner rotated app_secrets.admin_access_code to a high-entropy value. VERIFIED LIVE 2026-07-06: verify_admin_code('CHANGE-ME-ADMIN-2026') now returns false (was true); new code returns true; wrong code false. Regression: normal scholar/alumni signup path unchanged; existing admins (only 'Admin test' + 'layla nasser', no rogue accounts) unaffected."
BUG-002,"Unauthenticated exposure of all member PII (email, name, country, role) via public REST API",Access Control / Data Protection,High,supabase/setup_profiles_auth.sql:36-37 (profiles_select policy),"The profiles_select RLS policy is 'USING (auth.uid() = id OR profile_visibility = 'public')' with no 'TO authenticated' restriction, and the default visibility is public. The Supabase URL + anon key are public (embedded in client JS). VERIFIED LIVE: a single curl to /rest/v1/profiles with just the anon key returns every member's full_name, email, country and role — including which accounts are admins. Enables mass email harvesting, targeted phishing of admins, and account enumeration with no login.",Restrict directory reads to logged-in users: change the policy to 'FOR SELECT TO authenticated USING (...)'. Stop selecting email in any directory/listing query; expose email only to the profile owner (and admins) via a dedicated column-scoped view or RPC. Consider making profile_visibility default to members-only.,Fixed,Repo: setup_profiles_auth.sql profiles_select now 'to authenticated'; migration supabase/security_hardening.sql. Live: owner applied. VERIFIED LIVE 2026-07-06: anon GET /rest/v1/profiles now returns [] (was dumping every full_name+email+role). Regression: member directory + profile pages still load in-app for logged-in users (owner confirmed).
BUG-003,"Unauthenticated exposure of academic records, employment & skills of all members",Access Control / Data Protection,High,supabase/setup_profiles_auth.sql:47-56 (can_view_profile); setup_profiles_auth.sql:63-78; supabase/phase1_writes.sql:184-185 (alumni_details_select),"can_view_profile() returns true whenever profile_visibility='public', with no requirement that the caller be authenticated, and it gates scholar_academic_records, profile_skills, profile_languages, profile_interests and alumni_details. VERIFIED LIVE: anonymous curl to /rest/v1/scholar_academic_records and /rest/v1/alumni_details returns institutions, GPAs, employers, positions and LinkedIn URLs for public profiles. Sensitive educational/career PII is exposed to the entire internet.","Add 'TO authenticated' to these policies (and to can_view_profile's usage) so only logged-in members can read them. Re-evaluate whether GPA/academic detail should be visible to all members at all, or only to the owner/admins.",Fixed,"Repo: can_view_profile() now requires auth.uid() is not null; sar/skills/languages/interests/alumni_details select policies set 'to authenticated'. Live: applied via security_hardening.sql. VERIFIED LIVE 2026-07-06: anon reads of scholar_academic_records, alumni_details, profile_skills, profile_interests all return [] (were leaking GPA/institution/employer/LinkedIn). Regression: authenticated profile pages with skills+academic records still render (owner confirmed)."
BUG-004,"Admin access code is brute-forceable (anon RPC, no rate limiting, boolean oracle)",API & Client-Server Trust / Access Control,Medium,supabase/phase14_admin_access.sql:41 (grant verify_admin_code to anon),"verify_admin_code(text) is granted to anon and returns a clean true/false with no throttling or lockout. VERIFIED LIVE: 8 rapid guesses all returned HTTP 200. An attacker can script unlimited guesses against the admin code from the public REST endpoint. Even after BUG-001 is fixed, a weak/guessable code can be cracked offline-style. Combined with redeem_admin_access this yields admin takeover.","Use a high-entropy code (>=128 bits). Do not expose a verify oracle to anon — verify only inside the authenticated redeem path, and add rate limiting / attempt logging (e.g. Supabase edge function with per-IP throttle, or a counter table with lockout). Prefer single-use expiring invite tokens over a static shared code.",Fixed,Repo: phase14_admin_access.sql revokes EXECUTE on verify_admin_code from public/anon/authenticated; app/login/actions.ts adminSignup no longer pre-calls the oracle (redeem_admin_access validates internally). Live: applied via security_hardening.sql. VERIFIED LIVE 2026-07-06: anon rpc/verify_admin_code now returns HTTP 401 'permission denied for function' instead of a boolean. Also mitigated by 144-bit code from BUG-001. Admin creation path unchanged for a correct code (tsc passes).
BUG-005,"Missing HTTP security headers (CSP, X-Frame-Options, X-Content-Type-Options, Referrer-Policy, Permissions-Policy)",Configuration & Secrets,Medium,tbhf-platform/next.config.ts (no headers() block); verified against live response headers,"VERIFIED LIVE: responses from the Vercel deployment include only HSTS. There is no Content-Security-Policy (weakens XSS containment, e.g. BUG-006), no X-Frame-Options/frame-ancestors (the app can be iframed -> clickjacking of authenticated actions), no X-Content-Type-Options: nosniff (MIME sniffing), and no Referrer-Policy/Permissions-Policy.","Add an async headers() function in next.config.ts returning: Content-Security-Policy (default-src 'self' plus the Supabase origin for connect/img), X-Frame-Options: DENY (or CSP frame-ancestors 'none'), X-Content-Type-Options: nosniff, Referrer-Policy: strict-origin-when-cross-origin, Permissions-Policy locking down camera/mic/geolocation. Test all pages still load, incl. Supabase image/storage URLs and auth XHR.",Fixed,"next.config.ts now sends CSP, X-Frame-Options: DENY, X-Content-Type-Options: nosniff, Referrer-Policy, Permissions-Policy, HSTS; poweredByHeader disabled. CSP scoped to app needs (Supabase https+wss, inline styles, data/blob img, blob workers for pdfjs); 'unsafe-eval' dev-only, prod strict. VERIFIED (dev server :3000, 2026-07-06): all 6 headers present on /:path*, X-Powered-By gone, /login renders 200 (16KB). tsc passes. Recommend re-checking live headers after next Vercel deploy."
BUG-006,Stored/DOM XSS via unvalidated user-supplied URLs (javascript: scheme) in href,Input Validation & Injection,Medium,components/ProfileView.tsx:257 (linkedin_url); app/(app)/showcase/[id]/page.tsx:80 (external_url/media_url); app/(app)/research/[id]/page.tsx:70 (link_url); components/OpportunityActions.tsx:56 (application link),"User/alumni/admin-supplied URLs (linkedin_url, showcase external_url, research link_url, opportunity application link) are stored without scheme validation (e.g. upsert_my_alumni_details stores linkedin_url verbatim) and rendered directly as <a href={...}>. An attacker can set the value to 'javascript:fetch(...)' or 'javascript:...'; when another member (or an admin reviewing content) clicks the link, script runs in their session -> session/data theft, and if an admin clicks, actions run with admin rights.","Validate/normalize URLs on write and render: allow only http(s):// (and mailto: where relevant); reject or neutralize javascript:, data:, vbscript:. Add a shared safeUrl() helper used at every href sink. React escapes text but does NOT block javascript: URLs.",Fixed,"Added lib/safeUrl.ts (allowlists http/https/mailto/tel + relative; blocks javascript:/data:/vbscript: incl. tab/newline/case obfuscation) and applied it to all 10 user-URL href sinks: OpportunityActions, ProfileView, AlumniNetwork, EventsCalendar (x2), ContentModeration, research/[id] (x2), resources, showcase/[id]. VERIFIED 2026-07-06: node unit test 13/13 pass (javascript variants -> undefined/dead link; legit URLs pass through). tsc passes. Regression: legitimate http(s)/mailto/relative links unaffected."
BUG-007,All Supabase Storage buckets are public — members-only files world-readable by URL,Data Protection / Access Control,Medium,supabase/phase3_resources.sql:81-82 (resources); phase9_research.sql:77-78 (research); phase6_stories.sql:121-122; phase7_showcase.sql:48-49; phase8_events.sql:93-94; phase10_volunteer.sql:110-111; phase30_community_media.sql:21-22; phase1_writes.sql:188-189 (avatars),"Every bucket is created with public=true, including 'resources' and 'research' which hold member-contributed / library documents likely intended for logged-in members only. Public buckets serve any object to anyone who has (or guesses) the object URL, with no auth check — bypassing the app's login gate. Uploaded PII or gated learning material can leak.","For buckets holding non-public content (resources, research, and review-gated uploads), set public=false and serve via signed URLs (createSignedUrl) or an authenticated read policy. Keep only genuinely public assets (e.g. avatars) public. Add upload content-type/size limits.",Fixed,"COMPLETE fix for the sensitive member-content buckets. security_hardening.sql sets resources+research buckets private + adds member_content_read policy (authenticated); new lib/storage.ts converts stored public URLs/paths to short-lived SIGNED URLs; listResources (data layer) and research/[id] detail page render signed URLs (research edit still uses raw path). Display-asset buckets (avatars/story-covers/event-posters/showcase/projects/community-media) intentionally stay public with size/MIME limits (not sensitive). VERIFIED LIVE 2026-07-06 (headless): /resources Career category Open link is now https://.../object/SIGN/resources/...?token=... (scope=download, 1h exp); /resources+/profile render fine (design intact); tsc passes. Apply security_hardening.sql to flip buckets private; DEPLOY CODE FIRST."
BUG-008,Vulnerable dependency: postcss < 8.5.10 (XSS) pulled via Next.js,Dependencies,Medium,tbhf-platform/package.json (next 16.2.9 -> postcss); npm audit,"npm audit reports 2 moderate vulnerabilities: postcss <8.5.10 has an XSS via unescaped </style> in CSS stringify output (GHSA-qx2v-qp2m-jg93), reachable transitively through Next.js. Low direct impact for this app's usage but should be patched to stay clean.","Run 'npm audit' regularly; update Next.js to a patched release that bumps postcss >=8.5.10 (or add an npm override for postcss). Re-run npm audit to confirm 0 remaining, and smoke-test the build.",Fixed,"package.json: bumped next 16.2.9->16.2.10, eslint-config-next to match, added overrides {postcss: ^8.5.16}. npm install resolved postcss 8.4.31->8.5.16. VERIFIED 2026-07-06: 'npm audit' now reports 0 vulnerabilities (was 2 moderate). Regression: 'next build' completes successfully (all routes compiled, exit 0), which also re-validates BUG-005/006 code changes. Note: restart the running dev server to pick up new node_modules."
BUG-009,"Weak password policy (minimum 6 characters, no complexity/breach checks)",Authentication & Session Management,Medium,app/login/actions.ts:47 (signup) and :92 (adminSignup),"Signup only enforces password.length >= 6 with no complexity, length ceiling, or breached-password check. Weak/reused passwords make member accounts — and especially admin accounts (BUG-001) — susceptible to credential stuffing and brute force. Supabase provides some login throttling but 6-char minimums are far below current guidance.",Raise the minimum to >=12 characters and enable Supabase Auth's leaked-password protection (HaveIBeenPwned) and minimum-strength settings. Enforce on both signup and password-change flows. Consider MFA for admin accounts.,Fixed,"Raised minimum password length 6->12 in all three enforcement points: app/login/actions.ts (signup + adminSignup) and app/(app)/settings/actions.ts (change password); updated SettingsPassword.tsx placeholder. VERIFIED 2026-07-06: grep confirms no remaining '6 characters'/min-6 checks; tsc passes; production build passed (BUG-008). Regression: passwords >=12 still accepted, only <12 rejected. RECOMMENDED (dashboard, not code): enable Supabase Auth leaked-password protection (HaveIBeenPwned) + require MFA for admin accounts."
BUG-013,Unsanitized user URLs on the event detail page (missed by BUG-006),Input Validation & Injection,Medium,"app/(app)/events/[id]/page.tsx:91,101,106 (recording_url, registration_link, online_link)","Same javascript:-URL stored/DOM XSS as BUG-006, on the event DETAIL page which the original BUG-006 fix missed (only EventsCalendar was patched). An admin/moderator setting an event's recording/registration/online link to 'javascript:...' runs script in an attendee's session when they click Watch/Register/Join.",Wrap the three hrefs in safeUrl() (same helper as BUG-006).,Fixed,Found during follow-up scan 2026-07-06. Applied safeUrl() to all 3 sinks + import; tsc passes. Identical pattern to the 10 BUG-006 sinks already validated by a passing production build. (Full build skipped intentionally to avoid corrupting the running dev server.)
